05/08/2021 05:33:38;1628152418;-29.68;54991;9327
05/08/2021 05:35:11;1628152511;-33.64;53142;6897
05/08/2021 05:35:41;1628152541;-29.8;55025;10049
05/08/2021 05:36:11;1628152571;-29.92;54759;5531
05/08/2021 05:36:41;1628152601;-30.32;54998;5636
05/08/2021 05:37:11;1628152631;-30.32;54983;12357
05/08/2021 05:37:41;1628152661;-30.26;55054;9984
05/08/2021 05:38:11;1628152691;-30.35;55018;5360
05/08/2021 05:38:41;1628152721;-30.35;55047;7568
05/08/2021 05:39:11;1628152751;-30.38;55103;7377
05/08/2021 05:39:41;1628152781;-30.13;54899;7364
05/08/2021 05:40:11;1628152811;-30.38;55054;7348
05/08/2021 05:40:41;1628152841;-30.71;55018;5385
05/08/2021 05:41:11;1628152871;-30.59;55047;7935
05/08/2021 05:41:41;1628152901;-30.5;54906;5330
05/08/2021 05:42:11;1628152931;-30.65;54864;7332
05/08/2021 05:42:41;1628152961;-30.53;54906;5433
05/08/2021 05:43:11;1628152991;-30.65;54991;8705
05/08/2021 05:43:41;1628153021;-30.84;55054;7442
05/08/2021 05:44:11;1628153051;-30.81;55060;8349
05/08/2021 05:44:41;1628153081;-30.81;54942;10696
05/08/2021 05:45:11;1628153111;-30.84;55018;7702
05/08/2021 05:45:41;1628153141;-30.65;54942;7687
05/08/2021 05:46:11;1628153171;-30.93;55095;8695
05/08/2021 05:46:41;1628153201;-30.71;54927;13696
05/08/2021 05:47:12;1628153232;-30.99;54942;7436
05/08/2021 05:47:41;1628153261;-30.81;55018;20642
05/08/2021 05:48:11;1628153291;-30.74;54886;16734
05/08/2021 05:48:42;1628153322;-30.93;55060;22666
05/08/2021 05:49:12;1628153352;-30.9;55011;16894
05/08/2021 05:49:42;1628153382;-30.96;54991;6541
05/08/2021 05:50:12;1628153412;-31.11;54991;5395
05/08/2021 05:50:42;1628153442;-31.05;55011;5481
05/08/2021 05:51:12;1628153472;-30.96;54935;36489
05/08/2021 05:52:19;1628153539;-31.11;55088;7443
